X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
29.1665,14.2644,99.4755,-0.70489,0.16866,0.688974,10.782,2.757,-38
23.6213,19.0747,109.812,-0.67181,-0.738997,-0.0505371,8.244,1.176,-30
28.4894,15.3334,119.849,-0.711462,0.0420483,-0.701466,9.978,2.241,-39
23.1591,15.2113,113.933,-0.622653,-0.072535,-0.779129,7.431,0.948,-30
24.2315,3.47725,115.094,-0.224621,0.939438,-0.258848,6.09,0.225,-52
21.801,10.3365,112.115,-0.385189,0.782983,-0.488433,5.682,0.276,-58
24.3577,3.84145,102.679,-0.393553,0.803011,0.447537,6.882,0.255,-52
21.5388,10.2976,106.445,-0.31145,0.81163,0.494222,5.784,0.258,-52
28.7479,15.5665,98.724,-0.711909,0.204454,0.671851,10.059,2.268,-36
29.6983,24.0958,109.004,-0.97976,-0.180517,0.0865114,9.45,3.264,-36
23.1788,20.4974,109.053,-0.680682,-0.728988,-0.0724503,7.977,1.14,-28
28.1874,17.0211,118.817,-0.731572,0.0316383,-0.68103,10.335,2.247,-37
22.7375,16.7775,113.025,-0.63281,-0.0925147,-0.768761,7.2,1.068,-30
23.9648,4.86526,113.98,-0.239336,0.938042,-0.25059,5.985,0.213,-52
21.4177,11.7548,111.135,-0.399494,0.791171,-0.463091,5.472,0.282,-57
28.5907,16.8263,98.4417,-0.721234,0.158182,0.674388,9.846,1.476,-37
28.3871,18.4272,118.403,-0.73869,-0.021295,-0.673709,9.999,2.079,-36
22.8063,17.8529,112.741,-0.657785,-0.12236,-0.743201,7.236,1.08,-30
24.1123,5.80704,113.608,-0.240459,0.946287,-0.21615,6.051,0.21,-50
23.8876,6.04649,101.985,-0.365544,0.82896,0.423324,6.765,0.246,-50
21.1109,12.638,105.558,-0.328731,0.819173,0.46999,5.37,0.225,-51
27.7613,17.4488,97.9475,-0.665212,0.23496,0.708722,9.483,1.119,-38
30.4334,25.399,108.456,-0.985171,-0.147217,0.0881244,12.165,7.263,-36
23.485,22.3037,108.706,-0.774157,-0.632536,-0.024054,8.439,1.854,-23
