X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
58.5397,-26.1459,118.55,0.653447,0.722039,-0.227306,8.676,1.053,-60
67.5153,-27.91,118.775,-0.81144,0.579058,-0.0791006,8.313,1.275,-44
72.5629,-24.029,127.832,-0.709368,-0.00309846,-0.704831,5.73,0.111,-10000
59.8976,-29.0948,131.197,0.103035,0.338514,-0.935303,6.54,0.066,-10000
61.2383,-26.6477,123.729,0.232367,0.273812,-0.933291,7.068,0.222,-69
55.7143,-36.1333,122.158,0.392067,0.841459,-0.371793,9.213,0.78,-61
59.5442,-29.6408,119.678,0.56711,0.784971,-0.249414,8.718,0.6,-60
73.6115,-34.9809,121.388,-0.668848,0.715679,-0.201111,7.56,0.606,-43
67.5803,-30.0166,120.229,-0.843436,0.529671,-0.0898052,8.25,0.846,-45
72.2333,-26.3701,129.455,-0.684711,0.0173095,-0.728609,5.817,0.102,-10000
66.5897,-26.7093,123.83,-0.727229,-0.102104,-0.678759,7.008,0.372,-38
59.4761,-31.794,132.392,0.150716,0.396611,-0.90553,6.657,0.081,-10000
61.0696,-29.0521,125.078,0.247949,0.289536,-0.924495,7.194,0.243,-69
59.8085,-32.2439,120.977,0.492253,0.839653,-0.229499,9.207,0.987,-62
67.7808,-39.259,122.136,-0.498927,0.796704,-0.341079,7.851,0.477,-61
72.4719,-35.008,121.423,-0.711006,0.669668,-0.214509,7.293,1.308,-39
70.6908,-26.7535,129.477,-0.696168,-0.00711001,-0.717844,5.457,0.114,-10000
58.0313,-31.83,132.381,0.124815,0.352711,-0.927371,6.24,0.072,-10000
54.3464,-39.0257,123.197,0.358251,0.866971,-0.346435,9.351,1.05,-73
58.0187,-32.402,120.875,0.561776,0.793075,-0.235455,8.967,0.918,-62
52.212,-26.1798,131.714,-0.294158,0.938348,-0.181586,6.579,0.108,-53
40.9239,-29.4585,135.066,0.752919,0.625297,-0.205225,6.219,0.321,-45
45.0867,-33.4909,138.87,0.722905,0.670038,-0.168696,5.823,0.06,-10000
51.5687,-35.1105,147.33,0.795178,0.603832,-0.05549,5.853,0.054,-10000
56.933,-43.138,157.515,-0.0736188,0.727624,-0.682014,4.656,0.156,154
60.528,-33.2873,161.085,-0.247981,0.184151,-0.951101,4.095,0.195,7
54.0812,-28.2582,152.756,0.011707,-0.76546,-0.643376,4.83,0.063,-10000
49.9042,-36.265,149.553,0.79543,0.603839,-0.0516615,5.379,0.039,-10000
57.5287,-32.6326,152.614,-0.219451,0.757099,-0.61534,5.001,0.066,-10000
58.9279,-28.1568,154.087,-0.46275,0.0157679,-0.886349,4.815,0.069,-10000
55.6754,-23.9316,152.719,0.0582671,-0.75542,-0.652645,4.818,0.033,-10000
45.7569,-37.0846,150.379,0.782265,0.595976,-0.181312,5.766,0.078,-51
58.2655,-31.7733,151.62,-0.241307,0.769705,-0.591037,5.331,0.045,-10000
59.4014,-27.1909,153.294,-0.434355,0.0068807,-0.900715,5.205,0.084,-10000
55.6072,-17.471,157.555,0.114296,-0.652564,-0.749064,4.95,0.156,-29
56.2868,-23.0634,151.911,0.055777,-0.746626,-0.662902,5.169,0.033,-10000
51.5949,-25.7808,149.998,0.89385,-0.299011,-0.334103,5.592,0.057,-10000
52.6371,-31.3066,148.579,0.744998,0.666141,-0.0351252,5.721,0.117,-10000
57.968,-30.6211,150.583,-0.198698,0.78185,-0.590957,5.349,0.045,-10000
56.119,-21.8504,150.855,0.0686321,-0.749286,-0.658681,5.19,0.021,-10000
51.4328,-24.6846,148.869,0.907046,-0.280091,-0.314352,5.631,0.036,-10000
52.6958,-30.265,147.405,0.71702,0.697015,-0.00720578,5.769,0.042,-10000
61.6015,-26.8235,160.025,-0.123051,0.17337,-0.977139,4.824,0.213,8
55.2186,-16.5357,156.917,0.121165,-0.644721,-0.754754,4.92,0.156,-10000
44.0843,-23.318,152.166,0.900703,-0.150601,-0.407496,5.958,0.084,-10000
58.6557,-25.7219,152.569,-0.448626,-0.0453175,-0.89257,4.398,0.123,2
57.7902,-27.097,153.322,-0.369353,-0.0170249,-0.929133,5.277,0.09,3
57.0388,-45.3073,166.286,0.333641,0.53831,-0.77389,4.632,0.384,-30
45.6474,-32.8312,158.041,0.940033,-0.292089,-0.176131,6.12,0.156,-136
53.0919,-35.4891,156.917,0.921991,-0.372697,-0.105024,5.619,0.057,-10000
47.9195,-46.2004,157.627,0.78643,0.600729,-0.143708,6.279,0.93,-154
52.368,-36.3908,166.473,0.723841,0.192164,-0.662666,4.611,0.384,-27
52.387,-32.8984,155.256,0.941421,-0.319886,-0.106772,5.544,0.045,-10000
54.4152,-43.5451,162.65,0.408878,0.636953,-0.653537,4.551,0.507,-33
56.6285,-37.9087,157.607,0.147043,0.777031,-0.612046,4.803,0.051,-10000
51.8632,-35.6435,165.754,0.68697,0.268395,-0.675305,4.383,0.399,-28
44.147,-29.769,155.777,0.954988,-0.212119,-0.207373,5.736,0.135,-10000
51.7422,-31.8407,154.495,0.945202,-0.306155,-0.113409,5.238,0.042,-10000
52.5485,-34.3979,165.441,0.666867,0.289729,-0.686546,4.542,0.315,-19
52.6675,-30.2765,154.253,0.931077,-0.346051,-0.115515,5.484,0.042,-10000
55.8145,-42.0958,162.352,0.360729,0.675204,-0.643408,4.569,0.507,-32
56.6494,-27.3229,157.102,0.291799,-0.765018,-0.574108,4.713,0.048,7
45.5303,-27.5654,155.773,0.950184,-0.228306,-0.212196,5.613,0.126,-10000
54.1026,-35.5347,153.898,0.769834,0.637916,0.020476,5.259,0.057,-10000
53.8491,-21.109,162.02,0.322912,-0.635724,-0.70113,4.569,0.192,-28
52.4379,-29.2367,154.123,0.927033,-0.355974,-0.117868,5.16,0.045,-10000
57.5855,-36.2357,156.104,0.0828656,0.811948,-0.577817,5.118,0.063,-10000
52.4395,-29.8766,153.078,0.936994,-0.334193,-0.101768,5.547,0.042,-10000
47.3743,-40.4999,152.536,0.776039,0.628543,-0.0519276,6.057,0.264,-58
58.0573,-35.7799,157.138,0.107954,0.802916,-0.586236,4.926,0.06,-10000
56.9693,-31.8991,158.955,0.359669,0.184246,-0.914708,4.722,0.111,119
57.1841,-42.5379,163.236,0.347906,0.666838,-0.659006,5.07,0.378,-30
58.8823,-36.7207,158.2,0.0787986,0.792622,-0.6046,5.13,0.057,-10000
53.7136,-30.4429,154.895,0.93689,-0.341285,-0.0759029,5.562,0.039,-10000
54.9292,-36.1495,154.631,0.748505,0.663013,0.0124286,5.67,0.063,-10000
57.1562,-43.6033,164.349,0.392116,0.623318,-0.676549,4.605,0.486,-32
54.6174,-23.3664,163.256,0.357,-0.674132,-0.646604,4.632,0.15,-25
53.966,-31.7654,155.76,0.933262,-0.353135,-0.0657145,5.238,0.042,-10000
49.0914,-42.7063,155.89,0.765448,0.638336,-0.0813372,5.856,0.417,-59
55.1554,-37.5138,155.582,0.75105,0.660231,0.00432907,5.316,0.06,-10000
58.4812,-35.0815,161.416,0.277728,0.0891089,-0.956518,4.341,0.108,3
54.1024,-33.1289,156.146,0.939191,-0.338189,-0.059564,4.983,0.036,-10000
54.4914,-44.2353,166.121,0.715865,0.29111,-0.634659,5.469,0.498,-27
54.4946,-36.315,168.673,0.801381,-0.0650787,-0.594604,4.467,0.423,-22
57.6699,-31.9089,159.972,0.327975,-0.779096,-0.534268,5.04,0.048,-10000
54.2055,-34.5152,157.231,0.93083,-0.361725,-0.0520583,5.493,0.054,-10000
49.0809,-45.1424,158.12,0.803819,0.571534,-0.164996,6.141,0.738,-154
52.2187,-43.5994,165.832,0.796483,0.229953,-0.559228,5.01,0.882,-27
52.9283,-35.8433,168.322,0.841156,-0.0921166,-0.532889,4.212,0.366,-18
56.4005,-31.9723,159.934,0.348699,-0.768314,-0.536752,4.542,0.048,-10000
47.4349,-45.8812,156.247,0.82012,0.565863,-0.0848708,6.183,0.675,-149
53.7813,-45.597,163.845,0.843403,-0.0973789,-0.528383,4.854,0.93,-31
49.3796,-48.0397,154.928,0.864458,0.50078,-0.0439487,5.916,0.846,-152
55.6069,-47.2201,162.656,0.811944,-0.233819,-0.534861,5.448,0.417,-30
60.722,-46.3062,157.698,0.503215,0.458047,-0.732781,5.436,0.255,-38
56.4389,-47.5533,161.446,0.805087,-0.171529,-0.567814,4.818,0.582,-31
61.5429,-46.365,156.364,0.501981,0.467096,-0.727899,5.025,0.237,-40
57.3283,-46.5991,162.515,0.88522,0.034376,-0.463901,4.806,0.498,-31
57.2927,-46.7207,160.553,0.791894,-0.162288,-0.588699,4.947,0.558,-27
58.0973,-45.7279,161.518,0.877379,0.0418988,-0.477966,4.902,0.519,-27
60.1295,-34.3562,161.399,0.346433,-0.567418,-0.747008,4.14,0.444,-2
62.5789,-46.0395,154.975,0.477373,0.44005,-0.760573,5.448,0.441,154
52.6919,-40.2217,157.023,0.834561,-0.189687,-0.51723,5.652,0.306,-152
60.3012,-35.3784,161.068,0.325888,-0.575897,-0.74976,4.356,0.453,1
59.8741,-47.2403,150.578,0.810794,0.581814,0.0640784,5.331,0.087,148
57.178,-48.0951,159.84,0.831456,-0.162339,-0.531345,5.547,0.486,-28
62.6639,-40.2534,155.082,0.282722,-0.617933,-0.73364,5.052,0.189,-15
58.2949,-47.1131,161.29,0.884388,0.0601433,-0.462861,4.971,0.693,-33
63.2685,-45.3336,156.186,0.389644,0.389855,-0.83438,4.92,0.288,-45
53.65,-51.4477,151.147,0.838396,0.537251,-0.0919367,5.721,0.708,-153
58.8788,-49.8536,162.715,0.784222,-0.266216,-0.560468,5.34,0.432,-32
59.3762,-48.8846,163.666,0.89006,-0.0584983,-0.452075,5.301,0.411,-31
64.5105,-42.5272,157.901,0.26728,-0.635609,-0.724266,5.028,0.147,-10000
63.5193,-50.404,159.84,0.50107,0.443554,-0.743094,5.457,0.651,148
64.035,-48.9173,160.764,0.429017,0.304495,-0.850428,5.337,0.33,-43
61.1211,-50.9512,155.616,0.814532,0.577843,0.051339,5.706,0.108,137
61.0225,-38.9383,165.759,0.269228,-0.610744,-0.744653,4.056,0.456,-3
52.246,-44.5787,161.149,0.875048,-0.196495,-0.442359,5.184,0.414,-158
53.6117,-55.9446,156.067,0.805584,0.575185,-0.142114,5.787,0.705,-157
62.2342,-50.4842,157.931,0.431873,0.496022,-0.753291,5.412,0.411,-32
61.2676,-49.734,159.847,0.637591,0.396573,-0.66046,4.8,0.666,-33
53.8526,-42.769,156.767,0.776878,-0.0570638,-0.62706,5.001,0.369,-155
55.7886,-53.5504,150.198,0.641627,0.738724,-0.206402,5.235,0.396,-154
67.2682,-46.588,151.418,0.250179,0.515762,-0.81939,5.367,0.456,95
68.8385,-43.8296,149.42,0.211835,-0.185256,-0.959586,5.133,0.084,-10000
